pest_id,crop,pest,life_stage,symptoms,affected_part,damage_type,peak_season,severity,description
22,Onion,Onion Thrips,Egg,Typical symptoms caused by Onion Thrips,Stem,Leaf feeding,Year-round,High,Onion Thrips is a common pest affecting Onion.
23,Rice,Brown Planthopper,Nymph,Typical symptoms caused by Brown Planthopper,Whole Plant,Root damage,Summer,Medium,Brown Planthopper is a common pest affecting Rice.
24,Cotton,Jassid,Larva,Typical symptoms caused by Jassid,Root,Leaf feeding,Summer,High,Jassid is a common pest affecting Cotton.
25,Soybean,Aphid,Adult,Typical symptoms caused by Aphid,Stem,Stem boring,Summer,Medium,Aphid is a common pest affecting Soybean.
26,Cotton,American Bollworm,Larva,Typical symptoms caused by American Bollworm,Root,Root damage,Year-round,Medium,American Bollworm is a common pest affecting Cotton.
27,Tomato,Leaf Miner,Larva,Typical symptoms caused by Leaf Miner,Whole Plant,Stem boring,Rabi,Low,Leaf Miner is a common pest affecting Tomato.
28,Maize,Corn Earworm,Egg,Typical symptoms caused by Corn Earworm,Stem,Root damage,Year-round,High,Corn Earworm is a common pest affecting Maize.
29,Soybean,Girdle Beetle,Adult,Typical symptoms caused by Girdle Beetle,Fruit,Fruit damage,Year-round,Medium,Girdle Beetle is a common pest affecting Soybean.
30,Soybean,Whitefly,Larva,Typical symptoms caused by Whitefly,Fruit,Stem boring,Year-round,Low,Whitefly is a common pest affecting Soybean.
31,Rice,Gall Midge,Larva,Typical symptoms caused by Gall Midge,Root,Fruit damage,Kharif,Low,Gall Midge is a common pest affecting Rice.
32,Rice,Rice Hispa,Nymph,Typical symptoms caused by Rice Hispa,Root,Sap sucking,Kharif,Medium,Rice Hispa is a common pest affecting Rice.
33,Cotton,Mealybug,Larva,Typical symptoms caused by Mealybug,Fruit,Sap sucking,Year-round,High,Mealybug is a common pest affecting Cotton.
34,Wheat,Aphid,Nymph,Typical symptoms caused by Aphid,Stem,Defoliation,Year-round,Low,Aphid is a common pest affecting Wheat.
35,Rice,Stem Borer,Adult,Typical symptoms caused by Stem Borer,Root,Sap sucking,Summer,Medium,Stem Borer is a common pest affecting Rice.
36,Banana,Rhizome Weevil,Egg,Typical symptoms caused by Rhizome Weevil,Root,Defoliation,Rabi,High,Rhizome Weevil is a common pest affecting Banana.
37,Rice,Stem Borer,Larva,Typical symptoms caused by Stem Borer,Root,Sap sucking,Summer,Low,Stem Borer is a common pest affecting Rice.
38,Chilli,Aphid,Larva,Typical symptoms caused by Aphid,Whole Plant,Fruit damage,Summer,Medium,Aphid is a common pest affecting Chilli.
39,Potato,Cutworm,Larva,Typical symptoms caused by Cutworm,Root,Defoliation,Kharif,High,Cutworm is a common pest affecting Potato.
40,Maize,White Grub,Nymph,Typical symptoms caused by White Grub,Fruit,Leaf feeding,Kharif,Low,White Grub is a common pest affecting Maize.
41,Cotton,American Bollworm,Adult,Typical symptoms caused by American Bollworm,Whole Plant,Leaf feeding,Summer,High,American Bollworm is a common pest affecting Cotton.
42,Rice,Rice Hispa,Nymph,Typical symptoms caused by Rice Hispa,Leaf,Leaf feeding,Kharif,High,Rice Hispa is a common pest affecting Rice.
43,Cotton,Jassid,Egg,Typical symptoms caused by Jassid,Fruit,Fruit damage,Kharif,Low,Jassid is a common pest affecting Cotton.
44,Onion,Maggot,Adult,Typical symptoms caused by Maggot,Stem,Fruit damage,Rabi,Medium,Maggot is a common pest affecting Onion.
45,Rice,Armyworm,Larva,Typical symptoms caused by Armyworm,Stem,Fruit damage,Rabi,Low,Armyworm is a common pest affecting Rice.
46,Tomato,Whitefly,Adult,Typical symptoms caused by Whitefly,Stem,Stem boring,Summer,Medium,Whitefly is a common pest affecting Tomato.
47,Cotton,American Bollworm,Larva,Typical symptoms caused by American Bollworm,Whole Plant,Root damage,Summer,High,American Bollworm is a common pest affecting Cotton.
48,Chilli,Thrips,Nymph,Typical symptoms caused by Thrips,Root,Root damage,Kharif,Medium,Thrips is a common pest affecting Chilli.
49,Soybean,Semilooper,Adult,Typical symptoms caused by Semilooper,Root,Defoliation,Year-round,High,Semilooper is a common pest affecting Soybean.
50,Cotton,Mealybug,Egg,Typical symptoms caused by Mealybug,Root,Root damage,Year-round,High,Mealybug is a common pest affecting Cotton.
51,Wheat,Armyworm,Larva,Typical symptoms caused by Armyworm,Stem,Sap sucking,Summer,Low,Armyworm is a common pest affecting Wheat.
52,Cotton,Thrips,Larva,Typical symptoms caused by Thrips,Stem,Root damage,Year-round,High,Thrips is a common pest affecting Cotton.
53,Potato,White Grub,Nymph,Typical symptoms caused by White Grub,Leaf,Fruit damage,Year-round,Medium,White Grub is a common pest affecting Potato.
54,Wheat,Aphid,Larva,Typical symptoms caused by Aphid,Root,Stem boring,Kharif,Low,Aphid is a common pest affecting Wheat.
55,Cotton,Mealybug,Larva,Typical symptoms caused by Mealybug,Fruit,Root damage,Rabi,Low,Mealybug is a common pest affecting Cotton.
56,Rice,Green Leafhopper,Larva,Typical symptoms caused by Green Leafhopper,Whole Plant,Root damage,Kharif,Low,Green Leafhopper is a common pest affecting Rice.
57,Maize,White Grub,Nymph,Typical symptoms caused by White Grub,Stem,Sap sucking,Year-round,Low,White Grub is a common pest affecting Maize.
58,Wheat,Aphid,Larva,Typical symptoms caused by Aphid,Stem,Fruit damage,Summer,Medium,Aphid is a common pest affecting Wheat.
59,Potato,Aphid,Adult,Typical symptoms caused by Aphid,Root,Fruit damage,Summer,Medium,Aphid is a common pest affecting Potato.
60,Rice,Caseworm,Larva,Typical symptoms caused by Caseworm,Leaf,Fruit damage,Kharif,Medium,Caseworm is a common pest affecting Rice.
61,Chilli,Mite,Egg,Typical symptoms caused by Mite,Root,Fruit damage,Summer,High,Mite is a common pest affecting Chilli.
62,Soybean,Semilooper,Egg,Typical symptoms caused by Semilooper,Whole Plant,Stem boring,Year-round,Medium,Semilooper is a common pest affecting Soybean.
63,Onion,Maggot,Nymph,Typical symptoms caused by Maggot,Whole Plant,Leaf feeding,Rabi,Medium,Maggot is a common pest affecting Onion.
64,Maize,Corn Earworm,Larva,Typical symptoms caused by Corn Earworm,Leaf,Root damage,Year-round,Medium,Corn Earworm is a common pest affecting Maize.
65,Tomato,Whitefly,Egg,Typical symptoms caused by Whitefly,Root,Leaf feeding,Kharif,Low,Whitefly is a common pest affecting Tomato.
66,Onion,Onion Thrips,Larva,Typical symptoms caused by Onion Thrips,Leaf,Fruit damage,Year-round,Medium,Onion Thrips is a common pest affecting Onion.
67,Wheat,Termite,Adult,Typical symptoms caused by Termite,Fruit,Defoliation,Summer,Low,Termite is a common pest affecting Wheat.
68,Chilli,Fruit Borer,Larva,Typical symptoms caused by Fruit Borer,Leaf,Stem boring,Year-round,High,Fruit Borer is a common pest affecting Chilli.
69,Cotton,Thrips,Egg,Typical symptoms caused by Thrips,Leaf,Sap sucking,Summer,Medium,Thrips is a common pest affecting Cotton.
70,Potato,Leafhopper,Larva,Typical symptoms caused by Leafhopper,Fruit,Stem boring,Year-round,High,Leafhopper is a common pest affecting Potato.
71,Wheat,Termite,Nymph,Typical symptoms caused by Termite,Whole Plant,Sap sucking,Kharif,Low,Termite is a common pest affecting Wheat.
72,Rice,Armyworm,Adult,Typical symptoms caused by Armyworm,Fruit,Sap sucking,Kharif,Medium,Armyworm is a common pest affecting Rice.
73,Wheat,Brown Wheat Mite,Nymph,Typical symptoms caused by Brown Wheat Mite,Root,Leaf feeding,Kharif,Low,Brown Wheat Mite is a common pest affecting Wheat.
74,Rice,Rice Hispa,Nymph,Typical symptoms caused by Rice Hispa,Whole Plant,Stem boring,Kharif,Low,Rice Hispa is a common pest affecting Rice.
75,Onion,Cutworm,Larva,Typical symptoms caused by Cutworm,Fruit,Sap sucking,Year-round,High,Cutworm is a common pest affecting Onion.
76,Wheat,Cutworm,Egg,Typical symptoms caused by Cutworm,Fruit,Root damage,Summer,Medium,Cutworm is a common pest affecting Wheat.
77,Wheat,Brown Wheat Mite,Egg,Typical symptoms caused by Brown Wheat Mite,Fruit,Sap sucking,Rabi,Low,Brown Wheat Mite is a common pest affecting Wheat.
78,Wheat,Termite,Adult,Typical symptoms caused by Termite,Root,Root damage,Summer,Medium,Termite is a common pest affecting Wheat.
79,Potato,Aphid,Adult,Typical symptoms caused by Aphid,Leaf,Fruit damage,Summer,Medium,Aphid is a common pest affecting Potato.
80,Maize,Aphid,Adult,Typical symptoms caused by Aphid,Whole Plant,Leaf feeding,Summer,Low,Aphid is a common pest affecting Maize.
81,Potato,Aphid,Larva,Typical symptoms caused by Aphid,Whole Plant,Fruit damage,Kharif,Medium,Aphid is a common pest affecting Potato.
82,Banana,Rhizome Weevil,Egg,Typical symptoms caused by Rhizome Weevil,Root,Root damage,Summer,High,Rhizome Weevil is a common pest affecting Banana.
83,Wheat,Cutworm,Larva,Typical symptoms caused by Cutworm,Stem,Stem boring,Kharif,High,Cutworm is a common pest affecting Wheat.
84,Potato,White Grub,Larva,Typical symptoms caused by White Grub,Root,Fruit damage,Summer,Medium,White Grub is a common pest affecting Potato.
85,Chilli,Thrips,Adult,Typical symptoms caused by Thrips,Fruit,Leaf feeding,Rabi,Medium,Thrips is a common pest affecting Chilli.
86,Banana,Rhizome Weevil,Larva,Typical symptoms caused by Rhizome Weevil,Root,Fruit damage,Rabi,High,Rhizome Weevil is a common pest affecting Banana.
87,Chilli,Whitefly,Nymph,Typical symptoms caused by Whitefly,Whole Plant,Leaf feeding,Rabi,Low,Whitefly is a common pest affecting Chilli.
88,Potato,Cutworm,Egg,Typical symptoms caused by Cutworm,Leaf,Defoliation,Rabi,Medium,Cutworm is a common pest affecting Potato.
89,Rice,Leaf Folder,Nymph,Typical symptoms caused by Leaf Folder,Root,Sap sucking,Year-round,High,Leaf Folder is a common pest affecting Rice.
90,Banana,Aphid,Egg,Typical symptoms caused by Aphid,Leaf,Defoliation,Kharif,Low,Aphid is a common pest affecting Banana.
91,Soybean,Whitefly,Larva,Typical symptoms caused by Whitefly,Stem,Stem boring,Year-round,Medium,Whitefly is a common pest affecting Soybean.
92,Banana,Nematode,Egg,Typical symptoms caused by Nematode,Fruit,Root damage,Year-round,Medium,Nematode is a common pest affecting Banana.
93,Maize,White Grub,Adult,Typical symptoms caused by White Grub,Fruit,Fruit damage,Rabi,Medium,White Grub is a common pest affecting Maize.
94,Onion,Cutworm,Nymph,Typical symptoms caused by Cutworm,Stem,Leaf feeding,Summer,Low,Cutworm is a common pest affecting Onion.
95,Soybean,Aphid,Larva,Typical symptoms caused by Aphid,Fruit,Root damage,Kharif,Low,Aphid is a common pest affecting Soybean.
96,Maize,Stem Borer,Egg,Typical symptoms caused by Stem Borer,Root,Leaf feeding,Year-round,High,Stem Borer is a common pest affecting Maize.
97,Cotton,American Bollworm,Egg,Typical symptoms caused by American Bollworm,Whole Plant,Defoliation,Summer,Low,American Bollworm is a common pest affecting Cotton.
98,Soybean,Girdle Beetle,Egg,Typical symptoms caused by Girdle Beetle,Leaf,Fruit damage,Kharif,High,Girdle Beetle is a common pest affecting Soybean.
99,Cotton,Mealybug,Nymph,Typical symptoms caused by Mealybug,Leaf,Stem boring,Summer,High,Mealybug is a common pest affecting Cotton.
100,Soybean,Stem Fly,Egg,Typical symptoms caused by Stem Fly,Leaf,Sap sucking,Rabi,Low,Stem Fly is a common pest affecting Soybean.
101,Rice,Gall Midge,Egg,Typical symptoms caused by Gall Midge,Leaf,Stem boring,Kharif,High,Gall Midge is a common pest affecting Rice.
102,Chilli,Mite,Nymph,Typical symptoms caused by Mite,Whole Plant,Defoliation,Rabi,Low,Mite is a common pest affecting Chilli.
103,Onion,Onion Thrips,Larva,Typical symptoms caused by Onion Thrips,Stem,Leaf feeding,Year-round,High,Onion Thrips is a common pest affecting Onion.
104,Wheat,Termite,Nymph,Typical symptoms caused by Termite,Whole Plant,Sap sucking,Summer,Low,Termite is a common pest affecting Wheat.
105,Tomato,Thrips,Larva,Typical symptoms caused by Thrips,Root,Leaf feeding,Year-round,Low,Thrips is a common pest affecting Tomato.
106,Potato,Leafhopper,Larva,Typical symptoms caused by Leafhopper,Leaf,Sap sucking,Rabi,High,Leafhopper is a common pest affecting Potato.
107,Maize,Corn Earworm,Larva,Typical symptoms caused by Corn Earworm,Root,Leaf feeding,Rabi,High,Corn Earworm is a common pest affecting Maize.
108,Maize,Shoot Fly,Adult,Typical symptoms caused by Shoot Fly,Stem,Leaf feeding,Year-round,Medium,Shoot Fly is a common pest affecting Maize.
109,Potato,Leafhopper,Nymph,Typical symptoms caused by Leafhopper,Leaf,Stem boring,Kharif,High,Leafhopper is a common pest affecting Potato.
110,Soybean,Aphid,Egg,Typical symptoms caused by Aphid,Fruit,Root damage,Rabi,High,Aphid is a common pest affecting Soybean.
111,Banana,Aphid,Egg,Typical symptoms caused by Aphid,Whole Plant,Stem boring,Summer,Low,Aphid is a common pest affecting Banana.
112,Banana,Banana Weevil,Adult,Typical symptoms caused by Banana Weevil,Whole Plant,Leaf feeding,Rabi,Medium,Banana Weevil is a common pest affecting Banana.
113,Cotton,Pink Bollworm,Egg,Typical symptoms caused by Pink Bollworm,Stem,Stem boring,Year-round,Medium,Pink Bollworm is a common pest affecting Cotton.
114,Potato,Potato Tuber Moth,Egg,Typical symptoms caused by Potato Tuber Moth,Fruit,Fruit damage,Year-round,Medium,Potato Tuber Moth is a common pest affecting Potato.
115,Tomato,Whitefly,Adult,Typical symptoms caused by Whitefly,Fruit,Stem boring,Kharif,Low,Whitefly is a common pest affecting Tomato.
116,Banana,Aphid,Adult,Typical symptoms caused by Aphid,Root,Root damage,Year-round,Medium,Aphid is a common pest affecting Banana.
117,Soybean,Whitefly,Adult,Typical symptoms caused by Whitefly,Stem,Stem boring,Rabi,Medium,Whitefly is a common pest affecting Soybean.
118,Onion,Cutworm,Nymph,Typical symptoms caused by Cutworm,Whole Plant,Fruit damage,Kharif,Low,Cutworm is a common pest affecting Onion.
119,Maize,Shoot Fly,Adult,Typical symptoms caused by Shoot Fly,Whole Plant,Leaf feeding,Year-round,Medium,Shoot Fly is a common pest affecting Maize.
120,Rice,Leaf Folder,Nymph,Typical symptoms caused by Leaf Folder,Leaf,Leaf feeding,Summer,Medium,Leaf Folder is a common pest affecting Rice.
121,Banana,Rhizome Weevil,Adult,Typical symptoms caused by Rhizome Weevil,Root,Sap sucking,Year-round,Low,Rhizome Weevil is a common pest affecting Banana.
122,Wheat,Cutworm,Nymph,Typical symptoms caused by Cutworm,Fruit,Sap sucking,Year-round,Medium,Cutworm is a common pest affecting Wheat.
123,Wheat,Armyworm,Egg,Typical symptoms caused by Armyworm,Whole Plant,Leaf feeding,Kharif,High,Armyworm is a common pest affecting Wheat.
124,Chilli,Whitefly,Larva,Typical symptoms caused by Whitefly,Stem,Leaf feeding,Summer,High,Whitefly is a common pest affecting Chilli.
125,Tomato,Spider Mite,Egg,Typical symptoms caused by Spider Mite,Root,Defoliation,Kharif,Low,Spider Mite is a common pest affecting Tomato.
126,Wheat,Armyworm,Egg,Typical symptoms caused by Armyworm,Fruit,Root damage,Rabi,Low,Armyworm is a common pest affecting Wheat.
127,Potato,Potato Tuber Moth,Larva,Typical symptoms caused by Potato Tuber Moth,Whole Plant,Stem boring,Summer,Medium,Potato Tuber Moth is a common pest affecting Potato.
128,Soybean,Girdle Beetle,Nymph,Typical symptoms caused by Girdle Beetle,Leaf,Root damage,Year-round,High,Girdle Beetle is a common pest affecting Soybean.
129,Cotton,Mealybug,Adult,Typical symptoms caused by Mealybug,Root,Stem boring,Summer,Medium,Mealybug is a common pest affecting Cotton.
130,Rice,Rice Hispa,Larva,Typical symptoms caused by Rice Hispa,Stem,Sap sucking,Rabi,Medium,Rice Hispa is a common pest affecting Rice.
131,Onion,Maggot,Larva,Typical symptoms caused by Maggot,Whole Plant,Root damage,Kharif,Low,Maggot is a common pest affecting Onion.
132,Cotton,Mealybug,Egg,Typical symptoms caused by Mealybug,Fruit,Root damage,Summer,High,Mealybug is a common pest affecting Cotton.
133,Banana,Nematode,Adult,Typical symptoms caused by Nematode,Fruit,Defoliation,Year-round,High,Nematode is a common pest affecting Banana.
134,Soybean,Aphid,Adult,Typical symptoms caused by Aphid,Leaf,Root damage,Kharif,Medium,Aphid is a common pest affecting Soybean.
135,Chilli,Whitefly,Egg,Typical symptoms caused by Whitefly,Fruit,Stem boring,Summer,High,Whitefly is a common pest affecting Chilli.
136,Onion,Onion Thrips,Adult,Typical symptoms caused by Onion Thrips,Stem,Stem boring,Summer,Low,Onion Thrips is a common pest affecting Onion.
137,Onion,Maggot,Nymph,Typical symptoms caused by Maggot,Stem,Sap sucking,Rabi,Low,Maggot is a common pest affecting Onion.
138,Soybean,Aphid,Nymph,Typical symptoms caused by Aphid,Root,Fruit damage,Rabi,Medium,Aphid is a common pest affecting Soybean.
139,Chilli,Fruit Borer,Nymph,Typical symptoms caused by Fruit Borer,Fruit,Fruit damage,Summer,High,Fruit Borer is a common pest affecting Chilli.
140,Tomato,Whitefly,Larva,Typical symptoms caused by Whitefly,Stem,Stem boring,Year-round,Low,Whitefly is a common pest affecting Tomato.
141,Potato,Aphid,Egg,Typical symptoms caused by Aphid,Stem,Fruit damage,Summer,High,Aphid is a common pest affecting Potato.
142,Banana,Banana Weevil,Larva,Typical symptoms caused by Banana Weevil,Stem,Sap sucking,Year-round,High,Banana Weevil is a common pest affecting Banana.
143,Soybean,Stem Fly,Larva,Typical symptoms caused by Stem Fly,Leaf,Fruit damage,Summer,Medium,Stem Fly is a common pest affecting Soybean.
144,Potato,White Grub,Nymph,Typical symptoms caused by White Grub,Leaf,Defoliation,Kharif,Medium,White Grub is a common pest affecting Potato.
145,Maize,Corn Earworm,Larva,Typical symptoms caused by Corn Earworm,Whole Plant,Root damage,Year-round,Medium,Corn Earworm is a common pest affecting Maize.
146,Potato,Leafhopper,Egg,Typical symptoms caused by Leafhopper,Stem,Sap sucking,Kharif,High,Leafhopper is a common pest affecting Potato.
147,Banana,Thrips,Adult,Typical symptoms caused by Thrips,Stem,Defoliation,Year-round,High,Thrips is a common pest affecting Banana.
148,Maize,Shoot Fly,Larva,Typical symptoms caused by Shoot Fly,Root,Sap sucking,Rabi,Medium,Shoot Fly is a common pest affecting Maize.
149,Potato,Cutworm,Larva,Typical symptoms caused by Cutworm,Stem,Stem boring,Summer,Medium,Cutworm is a common pest affecting Potato.
150,Onion,Maggot,Larva,Typical symptoms caused by Maggot,Root,Leaf feeding,Summer,High,Maggot is a common pest affecting Onion.
151,Maize,White Grub,Egg,Typical symptoms caused by White Grub,Leaf,Fruit damage,Rabi,Low,White Grub is a common pest affecting Maize.
152,Maize,Aphid,Egg,Typical symptoms caused by Aphid,Root,Defoliation,Rabi,Medium,Aphid is a common pest affecting Maize.
153,Tomato,Spider Mite,Nymph,Typical symptoms caused by Spider Mite,Whole Plant,Stem boring,Summer,Low,Spider Mite is a common pest affecting Tomato.
154,Potato,Potato Tuber Moth,Adult,Typical symptoms caused by Potato Tuber Moth,Stem,Defoliation,Rabi,High,Potato Tuber Moth is a common pest affecting Potato.
155,Chilli,Thrips,Egg,Typical symptoms caused by Thrips,Root,Defoliation,Kharif,Medium,Thrips is a common pest affecting Chilli.
156,Rice,Caseworm,Adult,Typical symptoms caused by Caseworm,Stem,Stem boring,Summer,Medium,Caseworm is a common pest affecting Rice.
157,Cotton,Jassid,Nymph,Typical symptoms caused by Jassid,Whole Plant,Stem boring,Kharif,High,Jassid is a common pest affecting Cotton.
158,Soybean,Semilooper,Larva,Typical symptoms caused by Semilooper,Stem,Fruit damage,Kharif,High,Semilooper is a common pest affecting Soybean.
159,Banana,Aphid,Larva,Typical symptoms caused by Aphid,Root,Root damage,Rabi,Low,Aphid is a common pest affecting Banana.
160,Wheat,Pink Stem Borer,Larva,Typical symptoms caused by Pink Stem Borer,Leaf,Root damage,Rabi,Medium,Pink Stem Borer is a common pest affecting Wheat.
161,Soybean,Whitefly,Egg,Typical symptoms caused by Whitefly,Whole Plant,Leaf feeding,Year-round,High,Whitefly is a common pest affecting Soybean.
162,Cotton,Pink Bollworm,Larva,Typical symptoms caused by Pink Bollworm,Stem,Sap sucking,Rabi,High,Pink Bollworm is a common pest affecting Cotton.
163,Tomato,Aphid,Larva,Typical symptoms caused by Aphid,Leaf,Sap sucking,Kharif,Medium,Aphid is a common pest affecting Tomato.
164,Chilli,Fruit Borer,Adult,Typical symptoms caused by Fruit Borer,Leaf,Sap sucking,Year-round,Low,Fruit Borer is a common pest affecting Chilli.
165,Chilli,Whitefly,Nymph,Typical symptoms caused by Whitefly,Stem,Root damage,Summer,Medium,Whitefly is a common pest affecting Chilli.
166,Tomato,Fruit Borer,Larva,Typical symptoms caused by Fruit Borer,Root,Sap sucking,Kharif,High,Fruit Borer is a common pest affecting Tomato.
167,Soybean,Whitefly,Egg,Typical symptoms caused by Whitefly,Root,Leaf feeding,Rabi,Medium,Whitefly is a common pest affecting Soybean.
168,Soybean,Semilooper,Egg,Typical symptoms caused by Semilooper,Whole Plant,Defoliation,Kharif,Low,Semilooper is a common pest affecting Soybean.
169,Potato,Aphid,Nymph,Typical symptoms caused by Aphid,Leaf,Stem boring,Summer,Medium,Aphid is a common pest affecting Potato.
170,Soybean,Girdle Beetle,Egg,Typical symptoms caused by Girdle Beetle,Root,Sap sucking,Rabi,Medium,Girdle Beetle is a common pest affecting Soybean.
171,Rice,Armyworm,Nymph,Typical symptoms caused by Armyworm,Leaf,Stem boring,Summer,Medium,Armyworm is a common pest affecting Rice.
172,Onion,Leaf Miner,Egg,Typical symptoms caused by Leaf Miner,Fruit,Root damage,Kharif,Low,Leaf Miner is a common pest affecting Onion.
173,Maize,Aphid,Egg,Typical symptoms caused by Aphid,Fruit,Fruit damage,Year-round,Medium,Aphid is a common pest affecting Maize.
174,Tomato,Spider Mite,Nymph,Typical symptoms caused by Spider Mite,Whole Plant,Stem boring,Year-round,High,Spider Mite is a common pest affecting Tomato.
175,Soybean,Semilooper,Larva,Typical symptoms caused by Semilooper,Leaf,Leaf feeding,Year-round,Low,Semilooper is a common pest affecting Soybean.
176,Chilli,Whitefly,Nymph,Typical symptoms caused by Whitefly,Whole Plant,Stem boring,Kharif,High,Whitefly is a common pest affecting Chilli.
177,Rice,Caseworm,Egg,Typical symptoms caused by Caseworm,Root,Leaf feeding,Kharif,Low,Caseworm is a common pest affecting Rice.
178,Wheat,Termite,Adult,Typical symptoms caused by Termite,Leaf,Stem boring,Summer,Medium,Termite is a common pest affecting Wheat.
179,Onion,Maggot,Nymph,Typical symptoms caused by Maggot,Fruit,Stem boring,Rabi,Low,Maggot is a common pest affecting Onion.
180,Wheat,Armyworm,Egg,Typical symptoms caused by Armyworm,Leaf,Leaf feeding,Summer,Medium,Armyworm is a common pest affecting Wheat.
181,Chilli,Fruit Borer,Adult,Typical symptoms caused by Fruit Borer,Leaf,Root damage,Kharif,Low,Fruit Borer is a common pest affecting Chilli.
182,Tomato,Thrips,Adult,Typical symptoms caused by Thrips,Stem,Root damage,Year-round,Medium,Thrips is a common pest affecting Tomato.
183,Banana,Rhizome Weevil,Nymph,Typical symptoms caused by Rhizome Weevil,Leaf,Sap sucking,Rabi,Low,Rhizome Weevil is a common pest affecting Banana.
184,Rice,Caseworm,Larva,Typical symptoms caused by Caseworm,Leaf,Fruit damage,Summer,Medium,Caseworm is a common pest affecting Rice.
185,Soybean,Girdle Beetle,Adult,Typical symptoms caused by Girdle Beetle,Fruit,Stem boring,Summer,Low,Girdle Beetle is a common pest affecting Soybean.
186,Potato,Aphid,Egg,Typical symptoms caused by Aphid,Root,Defoliation,Kharif,Low,Aphid is a common pest affecting Potato.
187,Maize,White Grub,Larva,Typical symptoms caused by White Grub,Fruit,Stem boring,Rabi,High,White Grub is a common pest affecting Maize.
188,Rice,Rice Hispa,Egg,Typical symptoms caused by Rice Hispa,Stem,Fruit damage,Summer,High,Rice Hispa is a common pest affecting Rice.
189,Onion,Onion Thrips,Nymph,Typical symptoms caused by Onion Thrips,Stem,Root damage,Kharif,High,Onion Thrips is a common pest affecting Onion.
190,Maize,Aphid,Larva,Typical symptoms caused by Aphid,Root,Defoliation,Year-round,Medium,Aphid is a common pest affecting Maize.
191,Rice,Stem Borer,Larva,Typical symptoms caused by Stem Borer,Leaf,Sap sucking,Year-round,High,Stem Borer is a common pest affecting Rice.
192,Chilli,Mite,Egg,Typical symptoms caused by Mite,Stem,Stem boring,Kharif,Low,Mite is a common pest affecting Chilli.
193,Onion,Cutworm,Larva,Typical symptoms caused by Cutworm,Whole Plant,Defoliation,Year-round,Medium,Cutworm is a common pest affecting Onion.
