disease_id,crop,disease,disease_type,symptoms,affected_part,favorable_conditions,severity,spread_method,diagnosis
19,Chilli,Leaf Curl,Physiological,Typical symptoms observed for Leaf Curl,Whole Plant,High humidity,High,Air,Likely Leaf Curl in Chilli
20,Rice,Tungro,Physiological,Typical symptoms observed for Tungro,Tuber,20-30°C,Medium,Air,Likely Tungro in Rice
21,Potato,Leaf Roll Virus,Bacterial,Typical symptoms observed for Leaf Roll Virus,Fruit,High humidity,Low,Insect,Likely Leaf Roll Virus in Potato
22,Cotton,Alternaria Leaf Spot,Bacterial,Typical symptoms observed for Alternaria Leaf Spot,Fruit,Dense canopy,Low,Seed,Likely Alternaria Leaf Spot in Cotton
23,Rice,False Smut,Physiological,Typical symptoms observed for False Smut,Fruit,High humidity,High,Soil,Likely False Smut in Rice
24,Chilli,Leaf Curl,Viral,Typical symptoms observed for Leaf Curl,Tuber,Warm humid weather,High,Seed,Likely Leaf Curl in Chilli
25,Soybean,Charcoal Rot,Fungal,Typical symptoms observed for Charcoal Rot,Leaf,High humidity,Medium,Water,Likely Charcoal Rot in Soybean
26,Soybean,Charcoal Rot,Viral,Typical symptoms observed for Charcoal Rot,Panicle,Cool wet weather,High,Soil,Likely Charcoal Rot in Soybean
27,Chilli,Fruit Rot,Physiological,Typical symptoms observed for Fruit Rot,Root,Warm moist soil,High,Soil,Likely Fruit Rot in Chilli
28,Soybean,Charcoal Rot,Physiological,Typical symptoms observed for Charcoal Rot,Root,Poor drainage,High,Water,Likely Charcoal Rot in Soybean
29,Onion,Purple Blotch,Physiological,Typical symptoms observed for Purple Blotch,Root,High humidity,Low,Soil,Likely Purple Blotch in Onion
30,Potato,Leaf Roll Virus,Fungal,Typical symptoms observed for Leaf Roll Virus,Leaf,High humidity,Medium,Water,Likely Leaf Roll Virus in Potato
31,Tomato,Late Blight,Bacterial,Typical symptoms observed for Late Blight,Whole Plant,Warm moist soil,High,Soil,Likely Late Blight in Tomato
32,Tomato,Mosaic Virus,Fungal,Typical symptoms observed for Mosaic Virus,Leaf,Poor drainage,High,Soil,Likely Mosaic Virus in Tomato
33,Rice,Bakanae,Fungal,Typical symptoms observed for Bakanae,Tuber,Warm humid weather,High,Soil,Likely Bakanae in Rice
34,Rice,Sheath Rot,Physiological,Typical symptoms observed for Sheath Rot,Root,Cool wet weather,Medium,Soil,Likely Sheath Rot in Rice
35,Rice,Sheath Rot,Bacterial,Typical symptoms observed for Sheath Rot,Fruit,Cool wet weather,Low,Air,Likely Sheath Rot in Rice
36,Tomato,Early Blight,Bacterial,Typical symptoms observed for Early Blight,Fruit,Warm humid weather,High,Air,Likely Early Blight in Tomato
37,Wheat,Powdery Mildew,Physiological,Typical symptoms observed for Powdery Mildew,Stem,Poor drainage,Medium,Soil,Likely Powdery Mildew in Wheat
38,Rice,Brown Spot,Bacterial,Typical symptoms observed for Brown Spot,Panicle,Cool wet weather,High,Water,Likely Brown Spot in Rice
39,Banana,Panama Wilt,Viral,Typical symptoms observed for Panama Wilt,Whole Plant,Poor drainage,Medium,Insect,Likely Panama Wilt in Banana
40,Cotton,Alternaria Leaf Spot,Fungal,Typical symptoms observed for Alternaria Leaf Spot,Tuber,Warm moist soil,Low,Insect,Likely Alternaria Leaf Spot in Cotton
41,Onion,Downy Mildew,Bacterial,Typical symptoms observed for Downy Mildew,Fruit,20-30°C,Low,Seed,Likely Downy Mildew in Onion
42,Banana,Sigatoka,Viral,Typical symptoms observed for Sigatoka,Stem,High humidity,High,Water,Likely Sigatoka in Banana
43,Soybean,Frogeye Leaf Spot,Physiological,Typical symptoms observed for Frogeye Leaf Spot,Leaf,High humidity,Medium,Soil,Likely Frogeye Leaf Spot in Soybean
44,Tomato,Fusarium Wilt,Physiological,Typical symptoms observed for Fusarium Wilt,Fruit,High humidity,Medium,Air,Likely Fusarium Wilt in Tomato
45,Tomato,Septoria Leaf Spot,Fungal,Typical symptoms observed for Septoria Leaf Spot,Leaf,Dense canopy,Medium,Air,Likely Septoria Leaf Spot in Tomato
46,Wheat,Loose Smut,Physiological,Typical symptoms observed for Loose Smut,Fruit,Warm humid weather,Medium,Water,Likely Loose Smut in Wheat
47,Maize,Common Rust,Bacterial,Typical symptoms observed for Common Rust,Stem,Warm moist soil,High,Water,Likely Common Rust in Maize
48,Banana,Panama Wilt,Viral,Typical symptoms observed for Panama Wilt,Panicle,Warm humid weather,Medium,Insect,Likely Panama Wilt in Banana
49,Tomato,Bacterial Wilt,Physiological,Typical symptoms observed for Bacterial Wilt,Leaf,Warm humid weather,Medium,Soil,Likely Bacterial Wilt in Tomato
50,Maize,Head Smut,Viral,Typical symptoms observed for Head Smut,Stem,Cool wet weather,Low,Soil,Likely Head Smut in Maize
51,Rice,Brown Spot,Physiological,Typical symptoms observed for Brown Spot,Tuber,Cool wet weather,Low,Air,Likely Brown Spot in Rice
52,Cotton,Alternaria Leaf Spot,Fungal,Typical symptoms observed for Alternaria Leaf Spot,Tuber,High humidity,Low,Soil,Likely Alternaria Leaf Spot in Cotton
53,Tomato,Septoria Leaf Spot,Physiological,Typical symptoms observed for Septoria Leaf Spot,Whole Plant,Warm humid weather,Medium,Air,Likely Septoria Leaf Spot in Tomato
54,Tomato,Bacterial Wilt,Viral,Typical symptoms observed for Bacterial Wilt,Stem,Cool wet weather,Medium,Insect,Likely Bacterial Wilt in Tomato
55,Wheat,Powdery Mildew,Physiological,Typical symptoms observed for Powdery Mildew,Panicle,High humidity,Medium,Insect,Likely Powdery Mildew in Wheat
56,Banana,Sigatoka,Physiological,Typical symptoms observed for Sigatoka,Fruit,Warm moist soil,High,Seed,Likely Sigatoka in Banana
57,Tomato,Fusarium Wilt,Physiological,Typical symptoms observed for Fusarium Wilt,Panicle,20-30°C,Low,Water,Likely Fusarium Wilt in Tomato
58,Tomato,Early Blight,Fungal,Typical symptoms observed for Early Blight,Whole Plant,Cool wet weather,Low,Soil,Likely Early Blight in Tomato
59,Onion,Basal Rot,Viral,Typical symptoms observed for Basal Rot,Tuber,20-30°C,Medium,Water,Likely Basal Rot in Onion
60,Wheat,Flag Smut,Fungal,Typical symptoms observed for Flag Smut,Panicle,Cool wet weather,High,Seed,Likely Flag Smut in Wheat
61,Soybean,Rust,Fungal,Typical symptoms observed for Rust,Leaf,Dense canopy,Medium,Water,Likely Rust in Soybean
62,Banana,Sigatoka,Fungal,Typical symptoms observed for Sigatoka,Stem,Warm humid weather,Low,Seed,Likely Sigatoka in Banana
63,Soybean,Rust,Physiological,Typical symptoms observed for Rust,Stem,Poor drainage,Medium,Soil,Likely Rust in Soybean
64,Banana,Sigatoka,Viral,Typical symptoms observed for Sigatoka,Tuber,High humidity,Medium,Water,Likely Sigatoka in Banana
65,Banana,Sigatoka,Bacterial,Typical symptoms observed for Sigatoka,Stem,Cool wet weather,Medium,Seed,Likely Sigatoka in Banana
66,Tomato,Late Blight,Physiological,Typical symptoms observed for Late Blight,Fruit,High humidity,Medium,Soil,Likely Late Blight in Tomato
67,Potato,Leaf Roll Virus,Bacterial,Typical symptoms observed for Leaf Roll Virus,Stem,Cool wet weather,Low,Insect,Likely Leaf Roll Virus in Potato
68,Chilli,Damping Off,Viral,Typical symptoms observed for Damping Off,Tuber,Warm moist soil,Low,Soil,Likely Damping Off in Chilli
69,Maize,Maydis Leaf Blight,Viral,Typical symptoms observed for Maydis Leaf Blight,Tuber,Warm moist soil,Medium,Insect,Likely Maydis Leaf Blight in Maize
70,Rice,Narrow Brown Spot,Physiological,Typical symptoms observed for Narrow Brown Spot,Leaf,Poor drainage,High,Soil,Likely Narrow Brown Spot in Rice
71,Onion,Purple Blotch,Viral,Typical symptoms observed for Purple Blotch,Root,20-30°C,Medium,Soil,Likely Purple Blotch in Onion
72,Rice,Bacterial Leaf Blight,Fungal,Typical symptoms observed for Bacterial Leaf Blight,Tuber,High humidity,Medium,Soil,Likely Bacterial Leaf Blight in Rice
73,Chilli,Anthracnose,Fungal,Typical symptoms observed for Anthracnose,Tuber,20-30°C,High,Insect,Likely Anthracnose in Chilli
74,Cotton,Leaf Curl Virus,Viral,Typical symptoms observed for Leaf Curl Virus,Whole Plant,20-30°C,High,Water,Likely Leaf Curl Virus in Cotton
75,Potato,Common Scab,Physiological,Typical symptoms observed for Common Scab,Tuber,Cool wet weather,Low,Seed,Likely Common Scab in Potato
76,Maize,Turcicum Leaf Blight,Viral,Typical symptoms observed for Turcicum Leaf Blight,Whole Plant,Cool wet weather,Medium,Insect,Likely Turcicum Leaf Blight in Maize
77,Wheat,Spot Blotch,Physiological,Typical symptoms observed for Spot Blotch,Panicle,Cool wet weather,Low,Air,Likely Spot Blotch in Wheat
78,Rice,Tungro,Physiological,Typical symptoms observed for Tungro,Tuber,Warm humid weather,Medium,Seed,Likely Tungro in Rice
79,Tomato,Leaf Curl,Viral,Typical symptoms observed for Leaf Curl,Fruit,Warm moist soil,High,Soil,Likely Leaf Curl in Tomato
80,Tomato,Mosaic Virus,Viral,Typical symptoms observed for Mosaic Virus,Whole Plant,Cool wet weather,Low,Insect,Likely Mosaic Virus in Tomato
81,Wheat,Flag Smut,Physiological,Typical symptoms observed for Flag Smut,Root,Warm humid weather,Low,Water,Likely Flag Smut in Wheat
82,Maize,Downy Mildew,Physiological,Typical symptoms observed for Downy Mildew,Tuber,Cool wet weather,Low,Water,Likely Downy Mildew in Maize
83,Tomato,Leaf Curl,Fungal,Typical symptoms observed for Leaf Curl,Fruit,Dense canopy,Medium,Soil,Likely Leaf Curl in Tomato
84,Rice,Bacterial Leaf Blight,Physiological,Typical symptoms observed for Bacterial Leaf Blight,Stem,20-30°C,Low,Soil,Likely Bacterial Leaf Blight in Rice
85,Rice,Stem Rot,Physiological,Typical symptoms observed for Stem Rot,Fruit,Warm humid weather,Medium,Seed,Likely Stem Rot in Rice
86,Cotton,Grey Mildew,Bacterial,Typical symptoms observed for Grey Mildew,Root,Warm humid weather,Medium,Soil,Likely Grey Mildew in Cotton
87,Tomato,Fusarium Wilt,Fungal,Typical symptoms observed for Fusarium Wilt,Stem,Poor drainage,Low,Water,Likely Fusarium Wilt in Tomato
88,Potato,Soft Rot,Bacterial,Typical symptoms observed for Soft Rot,Tuber,Poor drainage,Low,Seed,Likely Soft Rot in Potato
89,Rice,Bakanae,Fungal,Typical symptoms observed for Bakanae,Tuber,Cool wet weather,High,Insect,Likely Bakanae in Rice
90,Potato,Late Blight,Physiological,Typical symptoms observed for Late Blight,Root,Warm humid weather,Low,Insect,Likely Late Blight in Potato
91,Rice,Bacterial Leaf Blight,Physiological,Typical symptoms observed for Bacterial Leaf Blight,Leaf,Warm moist soil,Medium,Insect,Likely Bacterial Leaf Blight in Rice
92,Potato,Late Blight,Fungal,Typical symptoms observed for Late Blight,Leaf,Warm humid weather,Low,Soil,Likely Late Blight in Potato
93,Onion,Purple Blotch,Bacterial,Typical symptoms observed for Purple Blotch,Tuber,High humidity,High,Seed,Likely Purple Blotch in Onion
94,Wheat,Stripe Rust,Fungal,Typical symptoms observed for Stripe Rust,Whole Plant,Cool wet weather,High,Air,Likely Stripe Rust in Wheat
95,Rice,Brown Spot,Fungal,Typical symptoms observed for Brown Spot,Tuber,High humidity,High,Insect,Likely Brown Spot in Rice
96,Wheat,Loose Smut,Fungal,Typical symptoms observed for Loose Smut,Leaf,High humidity,Low,Soil,Likely Loose Smut in Wheat
97,Soybean,Rust,Physiological,Typical symptoms observed for Rust,Panicle,Warm humid weather,Low,Seed,Likely Rust in Soybean
98,Chilli,Leaf Curl,Physiological,Typical symptoms observed for Leaf Curl,Tuber,Warm moist soil,High,Air,Likely Leaf Curl in Chilli
99,Banana,Sigatoka,Bacterial,Typical symptoms observed for Sigatoka,Whole Plant,Warm moist soil,High,Soil,Likely Sigatoka in Banana
100,Tomato,Bacterial Wilt,Physiological,Typical symptoms observed for Bacterial Wilt,Fruit,20-30°C,High,Seed,Likely Bacterial Wilt in Tomato
101,Onion,Purple Blotch,Fungal,Typical symptoms observed for Purple Blotch,Root,Cool wet weather,Low,Seed,Likely Purple Blotch in Onion
102,Chilli,Anthracnose,Fungal,Typical symptoms observed for Anthracnose,Whole Plant,Warm humid weather,High,Soil,Likely Anthracnose in Chilli
103,Tomato,Septoria Leaf Spot,Bacterial,Typical symptoms observed for Septoria Leaf Spot,Leaf,Dense canopy,Low,Water,Likely Septoria Leaf Spot in Tomato
104,Chilli,Leaf Curl,Physiological,Typical symptoms observed for Leaf Curl,Root,Warm humid weather,High,Insect,Likely Leaf Curl in Chilli
105,Tomato,Early Blight,Fungal,Typical symptoms observed for Early Blight,Panicle,20-30°C,Medium,Soil,Likely Early Blight in Tomato
106,Soybean,Charcoal Rot,Fungal,Typical symptoms observed for Charcoal Rot,Fruit,Dense canopy,High,Seed,Likely Charcoal Rot in Soybean
107,Soybean,Frogeye Leaf Spot,Bacterial,Typical symptoms observed for Frogeye Leaf Spot,Panicle,High humidity,High,Seed,Likely Frogeye Leaf Spot in Soybean
108,Wheat,Leaf Rust,Viral,Typical symptoms observed for Leaf Rust,Panicle,Dense canopy,Low,Seed,Likely Leaf Rust in Wheat
109,Maize,Head Smut,Bacterial,Typical symptoms observed for Head Smut,Stem,Poor drainage,Low,Insect,Likely Head Smut in Maize
110,Potato,Late Blight,Bacterial,Typical symptoms observed for Late Blight,Root,20-30°C,High,Seed,Likely Late Blight in Potato
111,Soybean,Frogeye Leaf Spot,Viral,Typical symptoms observed for Frogeye Leaf Spot,Root,High humidity,Low,Soil,Likely Frogeye Leaf Spot in Soybean
112,Tomato,Leaf Curl,Physiological,Typical symptoms observed for Leaf Curl,Panicle,Cool wet weather,Medium,Soil,Likely Leaf Curl in Tomato
113,Potato,Early Blight,Bacterial,Typical symptoms observed for Early Blight,Stem,Warm moist soil,Low,Water,Likely Early Blight in Potato
114,Cotton,Grey Mildew,Bacterial,Typical symptoms observed for Grey Mildew,Tuber,Dense canopy,Low,Water,Likely Grey Mildew in Cotton
115,Potato,Common Scab,Viral,Typical symptoms observed for Common Scab,Panicle,Cool wet weather,High,Soil,Likely Common Scab in Potato
116,Soybean,Charcoal Rot,Bacterial,Typical symptoms observed for Charcoal Rot,Tuber,Warm humid weather,High,Water,Likely Charcoal Rot in Soybean
117,Cotton,Leaf Curl Virus,Physiological,Typical symptoms observed for Leaf Curl Virus,Fruit,Poor drainage,Low,Water,Likely Leaf Curl Virus in Cotton
118,Potato,Soft Rot,Viral,Typical symptoms observed for Soft Rot,Stem,Warm moist soil,High,Air,Likely Soft Rot in Potato
119,Chilli,Anthracnose,Fungal,Typical symptoms observed for Anthracnose,Whole Plant,Poor drainage,High,Seed,Likely Anthracnose in Chilli
120,Wheat,Loose Smut,Fungal,Typical symptoms observed for Loose Smut,Panicle,High humidity,Low,Insect,Likely Loose Smut in Wheat
121,Cotton,Leaf Curl Virus,Fungal,Typical symptoms observed for Leaf Curl Virus,Panicle,20-30°C,Medium,Seed,Likely Leaf Curl Virus in Cotton
122,Potato,Black Scurf,Fungal,Typical symptoms observed for Black Scurf,Whole Plant,20-30°C,High,Seed,Likely Black Scurf in Potato
123,Soybean,Charcoal Rot,Physiological,Typical symptoms observed for Charcoal Rot,Stem,High humidity,Medium,Insect,Likely Charcoal Rot in Soybean
124,Soybean,Anthracnose,Viral,Typical symptoms observed for Anthracnose,Leaf,Warm moist soil,High,Insect,Likely Anthracnose in Soybean
125,Banana,Cordana Leaf Spot,Physiological,Typical symptoms observed for Cordana Leaf Spot,Leaf,20-30°C,Medium,Water,Likely Cordana Leaf Spot in Banana
126,Rice,False Smut,Bacterial,Typical symptoms observed for False Smut,Fruit,Warm moist soil,Low,Insect,Likely False Smut in Rice
127,Rice,Sheath Rot,Viral,Typical symptoms observed for Sheath Rot,Whole Plant,Warm moist soil,Low,Air,Likely Sheath Rot in Rice
128,Maize,Stalk Rot,Fungal,Typical symptoms observed for Stalk Rot,Whole Plant,Poor drainage,Medium,Air,Likely Stalk Rot in Maize
129,Banana,Sigatoka,Fungal,Typical symptoms observed for Sigatoka,Stem,Warm humid weather,High,Air,Likely Sigatoka in Banana
130,Chilli,Fruit Rot,Viral,Typical symptoms observed for Fruit Rot,Stem,Warm moist soil,Medium,Soil,Likely Fruit Rot in Chilli
131,Cotton,Grey Mildew,Bacterial,Typical symptoms observed for Grey Mildew,Whole Plant,Warm humid weather,Medium,Insect,Likely Grey Mildew in Cotton
132,Tomato,Early Blight,Fungal,Typical symptoms observed for Early Blight,Fruit,Dense canopy,Medium,Seed,Likely Early Blight in Tomato
133,Potato,Late Blight,Fungal,Typical symptoms observed for Late Blight,Stem,20-30°C,High,Water,Likely Late Blight in Potato
134,Chilli,Anthracnose,Bacterial,Typical symptoms observed for Anthracnose,Leaf,High humidity,High,Soil,Likely Anthracnose in Chilli
135,Potato,Early Blight,Physiological,Typical symptoms observed for Early Blight,Panicle,Dense canopy,High,Seed,Likely Early Blight in Potato
136,Tomato,Fusarium Wilt,Viral,Typical symptoms observed for Fusarium Wilt,Tuber,Warm humid weather,Low,Soil,Likely Fusarium Wilt in Tomato
137,Potato,Common Scab,Fungal,Typical symptoms observed for Common Scab,Tuber,High humidity,Medium,Seed,Likely Common Scab in Potato
138,Wheat,Powdery Mildew,Fungal,Typical symptoms observed for Powdery Mildew,Panicle,Warm humid weather,Medium,Soil,Likely Powdery Mildew in Wheat
139,Banana,Bunchy Top,Viral,Typical symptoms observed for Bunchy Top,Whole Plant,Dense canopy,High,Air,Likely Bunchy Top in Banana
140,Chilli,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Whole Plant,High humidity,Low,Insect,Likely Anthracnose in Chilli
141,Maize,Turcicum Leaf Blight,Viral,Typical symptoms observed for Turcicum Leaf Blight,Fruit,Cool wet weather,Low,Insect,Likely Turcicum Leaf Blight in Maize
142,Soybean,Rust,Viral,Typical symptoms observed for Rust,Fruit,Dense canopy,Low,Seed,Likely Rust in Soybean
143,Potato,Common Scab,Viral,Typical symptoms observed for Common Scab,Panicle,Cool wet weather,High,Soil,Likely Common Scab in Potato
144,Potato,Late Blight,Fungal,Typical symptoms observed for Late Blight,Whole Plant,High humidity,High,Soil,Likely Late Blight in Potato
145,Soybean,Frogeye Leaf Spot,Bacterial,Typical symptoms observed for Frogeye Leaf Spot,Leaf,Poor drainage,Medium,Water,Likely Frogeye Leaf Spot in Soybean
146,Onion,Downy Mildew,Bacterial,Typical symptoms observed for Downy Mildew,Tuber,Dense canopy,High,Seed,Likely Downy Mildew in Onion
147,Tomato,Leaf Curl,Bacterial,Typical symptoms observed for Leaf Curl,Panicle,Warm moist soil,Medium,Soil,Likely Leaf Curl in Tomato
148,Rice,Bacterial Leaf Blight,Physiological,Typical symptoms observed for Bacterial Leaf Blight,Tuber,Poor drainage,Medium,Soil,Likely Bacterial Leaf Blight in Rice
149,Tomato,Bacterial Wilt,Physiological,Typical symptoms observed for Bacterial Wilt,Root,Cool wet weather,Medium,Air,Likely Bacterial Wilt in Tomato
150,Cotton,Grey Mildew,Viral,Typical symptoms observed for Grey Mildew,Panicle,20-30°C,Low,Water,Likely Grey Mildew in Cotton
151,Maize,Downy Mildew,Viral,Typical symptoms observed for Downy Mildew,Panicle,Dense canopy,Low,Insect,Likely Downy Mildew in Maize
152,Onion,Stemphylium Blight,Fungal,Typical symptoms observed for Stemphylium Blight,Fruit,Warm humid weather,High,Air,Likely Stemphylium Blight in Onion
153,Maize,Common Rust,Viral,Typical symptoms observed for Common Rust,Whole Plant,20-30°C,Medium,Seed,Likely Common Rust in Maize
154,Chilli,Anthracnose,Viral,Typical symptoms observed for Anthracnose,Fruit,Dense canopy,Low,Water,Likely Anthracnose in Chilli
155,Wheat,Spot Blotch,Viral,Typical symptoms observed for Spot Blotch,Stem,Dense canopy,Low,Air,Likely Spot Blotch in Wheat
156,Chilli,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Stem,Cool wet weather,Medium,Air,Likely Anthracnose in Chilli
157,Tomato,Mosaic Virus,Bacterial,Typical symptoms observed for Mosaic Virus,Leaf,Warm humid weather,High,Soil,Likely Mosaic Virus in Tomato
158,Chilli,Powdery Mildew,Fungal,Typical symptoms observed for Powdery Mildew,Root,High humidity,Medium,Air,Likely Powdery Mildew in Chilli
159,Tomato,Mosaic Virus,Viral,Typical symptoms observed for Mosaic Virus,Panicle,Cool wet weather,Low,Air,Likely Mosaic Virus in Tomato
160,Maize,Maydis Leaf Blight,Viral,Typical symptoms observed for Maydis Leaf Blight,Panicle,20-30°C,High,Air,Likely Maydis Leaf Blight in Maize
161,Tomato,Early Blight,Viral,Typical symptoms observed for Early Blight,Fruit,Poor drainage,Low,Seed,Likely Early Blight in Tomato
162,Cotton,Grey Mildew,Bacterial,Typical symptoms observed for Grey Mildew,Whole Plant,High humidity,Medium,Air,Likely Grey Mildew in Cotton
163,Potato,Common Scab,Viral,Typical symptoms observed for Common Scab,Tuber,High humidity,Low,Soil,Likely Common Scab in Potato
164,Tomato,Mosaic Virus,Viral,Typical symptoms observed for Mosaic Virus,Stem,Cool wet weather,Medium,Seed,Likely Mosaic Virus in Tomato
165,Rice,Blast,Physiological,Typical symptoms observed for Blast,Tuber,Warm moist soil,High,Water,Likely Blast in Rice
166,Chilli,Damping Off,Physiological,Typical symptoms observed for Damping Off,Panicle,20-30°C,High,Soil,Likely Damping Off in Chilli
167,Banana,Anthracnose,Fungal,Typical symptoms observed for Anthracnose,Whole Plant,Warm humid weather,Medium,Soil,Likely Anthracnose in Banana
168,Rice,Stem Rot,Viral,Typical symptoms observed for Stem Rot,Tuber,20-30°C,High,Air,Likely Stem Rot in Rice
169,Onion,Downy Mildew,Physiological,Typical symptoms observed for Downy Mildew,Whole Plant,Warm humid weather,Low,Insect,Likely Downy Mildew in Onion
170,Potato,Black Scurf,Bacterial,Typical symptoms observed for Black Scurf,Whole Plant,Warm moist soil,High,Insect,Likely Black Scurf in Potato
171,Wheat,Stem Rust,Bacterial,Typical symptoms observed for Stem Rust,Whole Plant,Cool wet weather,High,Seed,Likely Stem Rust in Wheat
172,Cotton,Grey Mildew,Viral,Typical symptoms observed for Grey Mildew,Fruit,High humidity,Medium,Soil,Likely Grey Mildew in Cotton
173,Maize,Stalk Rot,Viral,Typical symptoms observed for Stalk Rot,Fruit,Warm moist soil,High,Seed,Likely Stalk Rot in Maize
174,Cotton,Alternaria Leaf Spot,Bacterial,Typical symptoms observed for Alternaria Leaf Spot,Stem,High humidity,High,Water,Likely Alternaria Leaf Spot in Cotton
175,Rice,False Smut,Physiological,Typical symptoms observed for False Smut,Leaf,Warm moist soil,Low,Insect,Likely False Smut in Rice
176,Maize,Turcicum Leaf Blight,Viral,Typical symptoms observed for Turcicum Leaf Blight,Whole Plant,High humidity,Medium,Seed,Likely Turcicum Leaf Blight in Maize
177,Potato,Common Scab,Viral,Typical symptoms observed for Common Scab,Fruit,Cool wet weather,Low,Air,Likely Common Scab in Potato
178,Onion,Downy Mildew,Bacterial,Typical symptoms observed for Downy Mildew,Root,Warm humid weather,Low,Soil,Likely Downy Mildew in Onion
179,Tomato,Septoria Leaf Spot,Fungal,Typical symptoms observed for Septoria Leaf Spot,Stem,Warm moist soil,High,Air,Likely Septoria Leaf Spot in Tomato
180,Onion,Purple Blotch,Viral,Typical symptoms observed for Purple Blotch,Leaf,High humidity,Medium,Air,Likely Purple Blotch in Onion
181,Banana,Sigatoka,Bacterial,Typical symptoms observed for Sigatoka,Tuber,Warm moist soil,Low,Seed,Likely Sigatoka in Banana
182,Soybean,Charcoal Rot,Bacterial,Typical symptoms observed for Charcoal Rot,Whole Plant,Warm humid weather,Low,Water,Likely Charcoal Rot in Soybean
183,Soybean,Frogeye Leaf Spot,Viral,Typical symptoms observed for Frogeye Leaf Spot,Whole Plant,Cool wet weather,High,Water,Likely Frogeye Leaf Spot in Soybean
184,Tomato,Early Blight,Physiological,Typical symptoms observed for Early Blight,Fruit,Warm moist soil,Medium,Air,Likely Early Blight in Tomato
185,Potato,Common Scab,Physiological,Typical symptoms observed for Common Scab,Tuber,Warm humid weather,Medium,Air,Likely Common Scab in Potato
186,Rice,Sheath Rot,Physiological,Typical symptoms observed for Sheath Rot,Root,Dense canopy,Medium,Water,Likely Sheath Rot in Rice
187,Banana,Panama Wilt,Viral,Typical symptoms observed for Panama Wilt,Panicle,Poor drainage,Low,Air,Likely Panama Wilt in Banana
188,Soybean,Rust,Viral,Typical symptoms observed for Rust,Root,20-30°C,High,Soil,Likely Rust in Soybean
189,Soybean,Charcoal Rot,Bacterial,Typical symptoms observed for Charcoal Rot,Stem,Cool wet weather,High,Seed,Likely Charcoal Rot in Soybean
190,Tomato,Septoria Leaf Spot,Bacterial,Typical symptoms observed for Septoria Leaf Spot,Panicle,Warm moist soil,High,Seed,Likely Septoria Leaf Spot in Tomato
191,Chilli,Damping Off,Viral,Typical symptoms observed for Damping Off,Root,Dense canopy,High,Soil,Likely Damping Off in Chilli
192,Tomato,Fusarium Wilt,Viral,Typical symptoms observed for Fusarium Wilt,Panicle,Cool wet weather,Medium,Soil,Likely Fusarium Wilt in Tomato
